adjective,definition
able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something
abnormal,not normal; not typical or usual or regular or conforming to a norm
above,No definition found
absent,not being in a specified place
absolute,perfect or complete or pure
abstract,existing only in the mind; separated from embodiment
absurd,No definition found
abundant,present in great quantity
academic,associated with academia or an academy
acceptable,worthy of acceptance or satisfactory
accessible,capable of being reached
accounting,No definition found
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accused,No definition found
active,tending to become more severe or wider in scope
actual,presently existing in fact and not merely potential or possible
acute,having or experiencing a rapid onset and short but severe course
added,No definition found
addicted,compulsively or physiologically dependent on something habit-forming
additional,No definition found
adequate,having the requisite qualities or resources to meet a task
adjacent,No definition found
administrative,of or relating to or responsible for administration
adult,No definition found
advanced,No definition found
adverse,No definition found
advisory,No definition found
aesthetic,relating to or dealing with the subject of aesthetics
afraid,filled with fear or apprehension
aggregate,No definition found
aggressive,having or showing determination and energetic pursuit of your ends
agile,No definition found
agreed,No definition found
agricultural,relating to or used in or promoting agriculture or farming
alert,engaged in or accustomed to close observation
alien,No definition found
alive,possessing life
alleged,No definition found
allied,of or relating to or denoting the Allies in World War II
alone,No definition found
aloof,No definition found
alright,No definition found
alternative,No definition found
amateur,No definition found
amazing,No definition found
amber,No definition found
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ambitious,having a strong desire for success or achievement
ample,more than enough in size or scope or capacity
ancient,No definition found
angry,feeling or showing anger
annual,completing its life cycle within a year
anonymous,having no known name or identity or known source
anxious,No definition found
appalling,No definition found
apparent,No definition found
applicable,No definition found
applied,concerned with concrete problems or data rather than with fundamental principles
appointed,subject to appointment
appropriate,suitable for a particular person or place or condition etc
approved,No definition found
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice
archaeological,related to or dealing with or devoted to archaeology
architectural,of or pertaining to the art and science of architecture
armed,(used of persons or the military) characterized by having or bearing arms
arrogant,No definition found
articulate,expressing yourself easily or characterized by clear expressive language
artificial,contrived by art rather than nature
artistic,relating to or characteristic of art or artists
ashamed,feeling shame or guilt or embarrassment or remorse
asleep,in a state of sleep
assertive,aggressively self-assured
assistant,No definition found
associated,No definition found
astonishing,No definition found
atomic,of or relating to or comprising atoms
attempted,No definition found
attractive,pleasing to the eye or mind especially through beauty or charm
automatic,operating with minimal human intervention; independent of external control
autonomous,No definition found
available,obtainable or accessible and ready for use or service
average,No definition found
awake,not in a state of sleep; completely conscious
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception
awful,offensive or even (of persons) malicious
awkward,lacking grace or skill in manner or movement or performance
back,related to or located at the back
bad,having undesirable or negative qualities
bad,having undesirable or negative qualities
bad,having undesirable or negative qualities
balanced,being in a state of proper equilibrium
bald,No definition found
bare,not having a protective covering
basic,pertaining to or constituting a base or basis
beautiful,delighting the senses or exciting intellectual or emotional admiration
beneficial,No definition found
big,above average in size or number or quantity or magnitude or extent
binding,No definition found
biological,pertaining to biology or to life and living things
bitter,No definition found
bitter,No definition found
bizarre,No definition found
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
bland,No definition found
blank,No definition found
bleak,No definition found
blind,unable to see
blonde,being or having light colored skin and hair and usually blue or grey eyes
bloody,having or covered with or accompanied by blood
blue,No definition found
bodily,of or relating to or belonging to the body
bold,fearless and daring
bored,No definition found
boring,No definition found
bottom,situated at the bottom or lowest position
bourgeois,No definition found
brave,possessing or displaying courage; able to face and deal with danger or fear without flinching
brief,No definition found
bright,emitting or reflecting light readily or in large amounts
brilliant,No definition found
broad,having great (or a certain) extent from one side to the other
broken,physically and forcibly separated into pieces or cracked or split
brown,No definition found
bureaucratic,of or relating to or resembling a bureaucrat or bureaucracy
burning,No definition found
busy,actively or fully engaged or occupied
calm,(of weather) free from storm or wind
capable,(usually followed by ‘of’) having capacity or ability
capital,No definition found
careful,exercising caution or showing care or attention
casual,No definition found
causal,No definition found
cautious,showing careful forethought
central,in or near a center or constituting a center; the inner area
certain,having or feeling no doubt or uncertainty; confident and assured
changing,No definition found
characteristic,typical or distinctive
charismatic,No definition found
charming,No definition found
cheap,relatively low in price or charging low prices
cheerful,being full of or promoting cheer; having or showing good spirits
chemical,relating to or used in chemistry
chief,No definition found
childish,No definition found
chosen,No definition found
chronic,being long-lasting and recurrent or characterized by long suffering
circular,having the shape or form of a circle
civic,of or relating or belonging to a city
civil,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
civilian,associated with civil life or performed by persons who are not active members of the military
classic,"of or relating to the first significant period of a civilization, culture, area of study, etc."
classical,"of or relating to the first significant period of a civilization, culture, area of study, etc."
clean,free from dirt or impurities; or having clean habits
clear,readily apparent to the mind
clear,readily apparent to the mind
clerical,of or relating to clerks
clever,No definition found
clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
close,at or within a short distance in space or time or having elements near each other
close,at or within a short distance in space or time or having elements near each other
closed,not open or affording passage or access
co-operative,No definition found
coastal,of or relating to a coast
cognitive,of or being or relating to or involving cognition
coherent,"marked by an orderly, logical, and aesthetically consistent relation of parts"
cold,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
cold,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
collective,forming a whole or aggregate
colonial,of or relating to or characteristic of or inhabiting a colony
color-blind,No definition found
colorful,having much or varied color
coloured,having color or a certain color; sometimes used in combination
colourful,striking in variety and interest
combined,made or joined or united into one
comfortable,providing or experiencing physical well-being or relief (‘comfy’ is informal)
coming,No definition found
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises
common,belonging to or participated in by a community as a whole; public
common,belonging to or participated in by a community as a whole; public
common,belonging to or participated in by a community as a whole; public
communist,relating to or marked by communism
comparable,able to be compared or worthy of comparison
comparative,relating to or based on or involving comparison
compatible,able to exist and perform in harmonious or agreeable combination
competent,properly or sufficiently qualified or capable or efficient
competitive,involving competition or competitiveness
complementary,No definition found
complete,having every necessary or normal part or component or step
complex,complicated in structure; consisting of interconnected parts
complicated,No definition found
comprehensive,including all or everything
compulsory,No definition found
conceptual,No definition found
concerned,feeling or showing worry or solicitude
concrete,capable of being perceived by the senses; not abstract or imaginary
confident,having or marked by confidence or assurance
confidential,No definition found
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts
conservative,"resistant to change, particularly in relation to politics or religion"
considerable,large or relatively large in number or amount or extent or degree
consistent,(sometimes followed by ‘with’) in agreement or consistent or reliable
constant,steadfast in purpose or devotion or affection
constant,steadfast in purpose or devotion or affection
constitutional,of benefit to or intended to benefit your physical makeup
constructive,constructing or tending to construct or improve or promote development
contemporary,No definition found
content,satisfied or showing satisfaction with things as they are
continental,of or pertaining to or typical of Europe
continued,without stop or interruption
continuing,No definition found
continuous,continuing in time or space without interruption
contractual,relating to or part of a binding legal agreement
contrary,No definition found
controlled,restrained or managed or kept within certain bounds
controversial,marked by or capable of arousing controversy
convenient,suited to your comfort or purpose or needs
conventional,following accepted customs and proprieties
convincing,causing one to believe the truth of something
cool,neither warm nor very cold; giving relief from heat
cool,neither warm nor very cold; giving relief from heat
cooperative,done with or working with others for a common purpose or benefit
corporate,of or belonging to a corporation
correct,free from error; especially conforming to fact or truth
corresponding,No definition found
costly,No definition found
crazy,No definition found
creative,having the ability or power to create
criminal,No definition found
critical,marked by a tendency to find and call attention to errors and flaws
critical,marked by a tendency to find and call attention to errors and flaws
critical,marked by a tendency to find and call attention to errors and flaws
crucial,of extreme importance; vital to the resolution of a crisis
crude,not refined or processed
crude,not refined or processed
cruel,No definition found
cultural,of or relating to the arts and manners that a group favors
curious,eager to investigate and learn or learn more (sometimes about others' concerns)
current,occurring in or belonging to the present time
cute,No definition found
daily,No definition found
damaging,No definition found
damp,No definition found
dangerous,involving or causing danger or risk; liable to hurt or harm
dark,devoid of or deficient in light or brightness; shadowed or black
dead,no longer having or seeming to have or expecting to have life
deadly,No definition found
deaf,lacking or deprived of the sense of hearing wholly or in part
dear,No definition found
decent,conforming to conventions of sexual behavior
decisive,determining or having the power to determine an outcome
decorative,No definition found
deep,relatively deep or strong; affecting one deeply
defensive,intended or appropriate for defending against or deterring aggression or attack
definite,precise; explicit and clearly defined
deliberate,No definition found
delicate,exquisitely fine and subtle and pleasing; susceptible to injury
delicate,exquisitely fine and subtle and pleasing; susceptible to injury
delicious,No definition found
delighted,No definition found
delightful,No definition found
democratic,belong to or relating to the Democratic Party
dense,No definition found
departmental,of or relating to a department
dependent,"relying on or requiring a person or thing for support, supply, or what is needed"
depending,No definition found
depressed,No definition found
desirable,worth having or seeking or achieving
desired,No definition found
desperate,No definition found
detailed,No definition found
determined,having been learned or found or determined especially by investigation
developed,being changed over time so as to be e.g. stronger or more complete or more useful
developing,No definition found
devoted,No definition found
different,unlike in nature or quality or form or degree
differential,relating to or showing a difference
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
digital,displaying numbers rather than scale positions
diplomatic,relating to or characteristic of diplomacy
direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short
dirty,soiled or likely to soil with dirt or grime
dirty,soiled or likely to soil with dirt or grime
disabled,No definition found
disastrous,No definition found
disciplinary,relating to discipline in behavior
discreet,marked by prudence or modesty and wise self-restraint
distant,separated in space or coming from or going to a distance
distinct,easy to perceive; especially clearly outlined
distinctive,No definition found
distinguished,No definition found
distributed,spread out or scattered about or divided up
diverse,No definition found
divine,No definition found
domestic,of concern to or concerning the internal affairs of a nation
domestic,of concern to or concerning the internal affairs of a nation
dominant,exercising influence or control
double,used of flowers having more than the usual number of petals in crowded or overlapping arrangements
doubtful,No definition found
dramatic,suitable to or characteristic of drama
dreadful,No definition found
driving,No definition found
drunk,stupefied or excited by a chemical substance (especially alcohol)
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet
dual,No definition found
due,owed and payable immediately or on demand
dull,lacking in liveliness or animation
dull,lacking in liveliness or animation
dynamic,characterized by action or forcefulness or force of personality
eager,having or showing keen interest or intense desire or impatient expectancy
early,at or near the beginning of a period of time or course of events or before the usual or expected time
eastern,of or characteristic of eastern regions of the United States
easy,posing no difficulty; requiring little effort
economic,"of or relating to an economy, the system of production and management of material wealth"
educational,relating to the process of education
effective,producing or capable of producing an intended result or having a striking effect
efficient,being effective without wasting time or effort or expense
elaborate,No definition found
elderly,No definition found
elected,subject to popular election
electoral,of or relating to elections
electric,using or providing or producing or transmitting or operated by electricity
electrical,relating to or concerned with electricity
electronic,of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
elegant,refined and tasteful in appearance or behavior or style
eligible,qualified for or allowed or worthy of being chosen
embarrassed,No definition found
embarrassing,No definition found
emotional,determined or actuated by emotion rather than reason
empirical,derived from experiment and observation rather than theory
empty,holding or containing nothing
encouraging,giving courage or confidence or hope
endless,No definition found
enhanced,No definition found
enjoyable,No definition found
enormous,No definition found
enthusiastic,having or showing great excitement and interest
entire,No definition found
environmental,of or relating to the external conditions or surroundings
equal,"having the same quantity, value, or measure as another"
equivalent,No definition found
essential,basic and fundamental
established,brought about or set up or accepted; especially long established
estimated,No definition found
eternal,No definition found
ethical,of or relating to the philosophical study of ethics
ethnic,No definition found
even,divisible by two
even,divisible by two
eventual,No definition found
everyday,No definition found
evident,No definition found
evil,morally bad or wrong
evolutionary,of or relating to or produced by evolution
exact,marked by strict and particular and complete accordance with fact
excellent,No definition found
exceptional,No definition found
excess,No definition found
excessive,No definition found
excited,in an aroused state
exciting,creating or arousing excitement
exclusive,excluding much or all; especially all but a particular group or minority
executive,having the function of carrying out plans or orders etc.
existing,having existence or being or actuality
exotic,No definition found
exotic,No definition found
expected,considered likely or probable to happen or arrive
expensive,high in price or charging high prices
experienced,having experience; having knowledge or skill from observation or participation
experimental,relating to or based on experiment
expert,No definition found
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication
express,No definition found
extended,fully extended or stretched forth
extensive,of agriculture; increasing productivity by using large areas with minimal outlay and labor
external,happening or arising or located outside or beyond some limits or especially surface
extinct,no longer in existence; lost or especially having died out leaving no living representatives
extra,No definition found
extraordinary,beyond what is ordinary or usual; highly unusual or exceptional or remarkable; special
extreme,No definition found
faint,No definition found
fair,free from favoritism or self-interest or bias or deception; conforming with established standards or rules
faithful,steadfast in affection or allegiance
false,not in accordance with the fact or reality or actuality
familiar,well known or easily recognized
famous,No definition found
fantastic,No definition found
far,located at a great distance in time or space or degree
fascinating,No definition found
fashionable,being or in accordance with current social fashions
fast,acting or moving or capable of acting or moving quickly
fastidious,giving careful attention to detail; hard to please; excessively concerned with cleanliness
fat,having an (over)abundance of flesh
fatal,bringing death
favorable,encouraging or approving or pleasing
favourable,encouraging or approving or pleasing
favourite,No definition found
feasible,No definition found
federal,of or relating to the central government of a federation
fellow,No definition found
female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop
feminine,associated with women and not with men
fierce,No definition found
final,No definition found
financial,involving financial matters
fine,of textures that are smooth to the touch or substances consisting of relatively small particles
finished,(of materials or goods) brought to the desired final state
finished,(of materials or goods) brought to the desired final state
firm,No definition found
first,preceding all others in time or space or degree
first-hand,No definition found
fiscal,involving financial matters
fit,meeting adequate standards for a purpose
fixed,securely placed or fastened or set
flat,lacking contrast or shading between tones
flawed,No definition found
flexible,capable of being changed
following,going or proceeding or coming after in the same direction
fond,No definition found
foolish,devoid of good sense or judgment
foreign,of concern to or concerning the affairs of other nations (other than your own)
formal,being in accord with established forms and conventions and requirements (as e.g. of formal dress)
formidable,No definition found
forthcoming,No definition found
fortunate,having unexpected good fortune
forward,at or near or directed toward the front
fragile,No definition found
fragrant,pleasant-smelling
frank,No definition found
free,not limited or hampered; not under compulsion or restraint
free,not limited or hampered; not under compulsion or restraint
free,not limited or hampered; not under compulsion or restraint
frequent,coming at short intervals or habitually
fresh,"recently made, produced, or harvested"
fresh,"recently made, produced, or harvested"
friendly,characteristic of or befitting a friend
frightened,No definition found
front,relating to or located in the front
frozen,turned into ice; affected by freezing or by long and severe cold
fucking,No definition found
full,containing as much or as many as is possible or normal
full,containing as much or as many as is possible or normal
full-time,for the entire time appropriate to an activity
fun,No definition found
functional,designed for or capable of a particular function or use
fundamental,No definition found
funny,No definition found
furious,No definition found
future,yet to be or coming
gastric,relating to or involving the stomach
gay,No definition found
general,applying to all or most members of a category or group
generous,willing to give and share unstintingly
genetic,of or relating to or produced by or being a gene
gentle,No definition found
genuine,not fake or counterfeit
geographical,of or relating to the science of geography
geological,of or relating to or based on geology
giant,No definition found
given,No definition found
glad,showing or causing joy and pleasure; especially made happy
global,No definition found
glorious,having or deserving or conferring glory
gold,No definition found
golden,No definition found
good,having desirable or positive qualities especially those suitable for a thing specified
good,having desirable or positive qualities especially those suitable for a thing specified
gothic,characteristic of the style of type commonly used for printing German
gradual,proceeding in small stages
grammatical,of or pertaining to grammar
grand,No definition found
graphic,of or relating to the graphic arts
graphic,of or relating to the graphic arts
grateful,feeling or showing gratitude
grave,No definition found
great,No definition found
great,No definition found
green,concerned with or supporting or in conformity with the political principles of the Green Party
gregarious,(of animals) tending to form a group with others of the same species
grey,No definition found
grim,No definition found
gross,before any deductions
growing,relating to or suitable for growth
guilty,responsible for or chargeable with a reprehensible act
handicapped,No definition found
handsome,No definition found
handy,No definition found
happy,enjoying or showing or marked by joy or pleasure
hard,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
harmful,causing or capable of causing harm
harsh,of textures that are rough to the touch or substances consisting of relatively large particles
head,No definition found
healthy,having or indicating good health in body or mind; free from infirmity or disease
heavy,of comparatively great physical weight or density
helpful,providing assistance or serving a useful function
helpless,No definition found
hidden,No definition found
high,greater than normal in quantity or amount
hilarious,No definition found
historic,No definition found
historical,of or relating to the study of history
holy,belonging to or derived from or associated with a divine power
homeless,No definition found
homosexual,sexually attracted to members of your own sex
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth
honorable,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth
honourable,worthy of being honored; entitled to honor and respect
horizontal,parallel to or in the plane of the horizon or a base line
horrible,No definition found
hostile,characterized by enmity or ill will
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
huge,No definition found
human,characteristic of humanity
humble,marked by meekness or modesty; not arrogant or prideful
hungry,feeling hunger; feeling a need or desire to eat food
ideal,of or relating to the philosophical doctrine of the reality of ideas
identical,(of twins) derived from a single egg or ovum
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation
ignorant,No definition found
ill,affected by an impairment of normal physical or mental function
illegal,prohibited by law or by official or accepted rules
imaginative,No definition found
immediate,having no intervening medium
immense,No definition found
imminent,No definition found
immune,relating to the condition of immunity
imperial,relating to or associated with an empire
implicit,implied though not directly expressed; inherent in the nature of something
important,of great significance or value
impossible,not capable of occurring or being accomplished or dealt with
impressive,making a strong or vivid impression
improved,made more desirable or valuable or profitable; especially made ready for use or marketing
inadequate,lacking the requisite qualities or resources to meet a task
inappropriate,not suitable for a particular occasion etc
incapable,(followed by ‘of’) lacking capacity or ability
inclined,"(often followed by ‘to’) having a preference, disposition, or tendency"
incongruous,lacking in harmony or compatibility or appropriateness
increased,made greater in size or amount or degree
increasing,becoming greater or larger
incredible,beyond belief or understanding
independent,free from external control and constraint
indigenous,No definition found
indirect,not direct in spatial dimension; not leading by a straight line or course to a destination
individual,being or characteristic of a single thing or person
indoor,"located, suited for, or taking place within a building"
industrial,of or relating to or resulting from industry
inevitable,incapable of being avoided or prevented
infinite,having no limits or boundaries in time or space or extent or magnitude
influential,having or exercising influence or power
informal,not formal
inherent,No definition found
initial,No definition found
injured,harmed
inland,situated away from an area's coast or border
inner,located or occurring within or closer to a center
innocent,free from evil or guilt
innovative,No definition found
instant,No definition found
institutional,relating to or constituting or involving an institution
instrumental,relating to or designed for or performed on musical instruments
insufficient,of a quantity not able to fulfill a need or requirement
intact,No definition found
integral,of or denoted by an integer
integrated,formed into a whole or introduced into another entity
intellectual,appealing to or using the intellect
intelligent,having the capacity for thought and reason especially to a high degree
intense,possessing or displaying a distinctive feature to a heightened degree
intensive,tending to give force or emphasis
intent,No definition found
interactive,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
interested,having or showing interest; especially curiosity or fascination or concern
interesting,arousing or holding the attention
interim,No definition found
interior,situated within or suitable for inside a building
intermediate,lying between two extremes in time or space or state
internal,happening or arising or located within some limits or especially surface
international,concerning or belonging to all or at least two or more nations
intimate,No definition found
invaluable,No definition found
invisible,impossible or nearly impossible to see; imperceptible by the eye
involved,connected by participation or association or use
irrelevant,having no bearing on or connection with the subject at issue
irrespective,No definition found
isolated,No definition found
jealous,No definition found
joint,united or combined
judicial,belonging or appropriate to the office of a judge
junior,younger; lower in rank; shorter in length of tenure or service
just,used especially of what is legally or ethically right or proper or fitting
justified,No definition found
keen,No definition found
key,No definition found
kind,having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
known,apprehended with certainty
labour,No definition found
lacking,No definition found
large,above average in size or number or quantity or magnitude or extent
large-scale,No definition found
last,coming after all others in time or space or degree or being the only one remaining
late,being or occurring at an advanced period of time or after a usual or expected time
latest,No definition found
latin,of or relating to the ancient Latins or the Latin language
lay,No definition found
lazy,No definition found
leading,going or proceeding or going in advance; showing the way
left,being or located on or directed toward the side of the body to the west when facing north
legal,established by or founded upon law or official or accepted rules
legislative,relating to a legislature or composed of members of a legislature
legitimate,of marriages and offspring; recognized as lawful
lengthy,No definition found
lesser,of less size or importance
level,No definition found
lexical,of or relating to words
liable,No definition found
liberal,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
light,of comparatively little physical weight or density
light,of comparatively little physical weight or density
light,of comparatively little physical weight or density
like,resembling or similar; having the same or some of the same characteristics; often used in combination
likely,has a good chance of being the case or of coming about
limited,small in range or scope
linear,designating or involving an equation whose terms are of the first degree
linguistic,consisting of or related to language
liquid,existing as or having characteristics of a liquid; especially tending to flow
literary,of or relating to or characteristic of literature
little,limited or below average in number or quantity or magnitude or extent
live,actually being performed at the time of hearing or viewing
lively,full of life and energy
living,pertaining to living persons
