adjective,definition
local,relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
logical,capable of or reflecting the capability for correct and valid reasoning
lone,No definition found
lonely,No definition found
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
long-term,No definition found
loose,not compact or dense in structure or arrangement
lost,no longer in your possession or control; unable to be found or recovered
lost,no longer in your possession or control; unable to be found or recovered
loud,characterized by or producing sound of great volume or intensity
lovely,No definition found
low,less than normal in degree or intensity or amount
loyal,steadfast in allegiance or duty
lucky,having or bringing good fortune
luxury,No definition found
mad,No definition found
magic,No definition found
magical,No definition found
magnetic,of or relating to or caused by magnetism
magnificent,No definition found
main,(of a clause) capable of standing syntactically alone as a complete sentence
major,of greater importance or stature or rank
major,of greater importance or stature or rank
male,being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation
managerial,of or relating to the function or responsibility or activity of management
managing,No definition found
mandatory,No definition found
manual,of or relating to the hands
manufacturing,No definition found
marginal,No definition found
marine,of or relating to the sea
marked,having or as if having an identifying mark or a mark as specified; often used in combination
married,joined in matrimony
marvellous,No definition found
mass,No definition found
massive,No definition found
material,derived from or composed of matter
mathematical,of or pertaining to or of the nature of mathematics
mature,characteristic of maturity
mature,characteristic of maturity
maximum,the greatest or most complete or best possible
mean,No definition found
meaningful,having a meaning or purpose
mechanical,using (or as if using) mechanisms or tools or devices
medical,relating to the study or practice of medicine
medieval,relating to or belonging to the Middle Ages
medium,No definition found
memorable,No definition found
mental,involving the mind or an intellectual process
mere,No definition found
metropolitan,relating to or characteristic of a metropolis
mid,No definition found
middle,of a stage in the development of a language or literature between earlier and later stages
middle-class,occupying a socioeconomic position intermediate between those of the lower classes and the wealthy
mighty,No definition found
mild,moderate in type or degree or effect or force; far from extreme
military,of or relating to the study of the principles of warfare
minimal,the least possible
minimum,the least possible
ministerial,of or relating to a minister of religion or the minister's office
minor,of lesser importance or stature or rank
minute,No definition found
miserable,No definition found
misleading,No definition found
missing,No definition found
mixed,No definition found
mobile,moving or capable of moving readily (especially from place to place)
moderate,being within reasonable or average limits; not excessive or extreme
modern,belonging to the modern era; since the Middle Ages
modest,marked by simplicity; having a humble opinion of yourself
molecular,relating to or produced by or consisting of molecules
monetary,relating to or involving money
monstrous,No definition found
monstrous,No definition found
monthly,No definition found
moral,concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
moving,in motion
muggy,No definition found
multiple,having or involving or consisting of more than one part or entity or individual
municipal,relating or belonging to or characteristic of a municipality
musical,characterized by or capable of producing music
mutual,concerning each of two or more persons or things; especially given or done in return
mysterious,No definition found
naked,No definition found
narrow,not wide
narrow,not wide
nasty,offensive or even (of persons) malicious
national,of or relating to or belonging to a nation or country
native,characteristic of or existing by virtue of geographic origin
natural,in accordance with nature; relating to or concerning nature
naval,connected with or belonging to or used in a navy
near,not far distant in time or space or degree or circumstances
nearby,No definition found
neat,No definition found
necessary,absolutely essential
negative,characterized by or displaying negation or denial or opposition or resistance; having no positive features
negative,characterized by or displaying negation or denial or opposition or resistance; having no positive features
neighbouring,No definition found
nervous,of or relating to the nervous system
nervous,of or relating to the nervous system
net,remaining after all deductions
neutral,possessing no distinctive quality or characteristics
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
nice,pleasant or pleasing or agreeable in nature or appearance
noble,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
noble,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
noisy,full of or characterized by loud and nonmusical sounds
nominal,relating to or constituting or bearing or giving a name
normal,conforming with or constituting a norm or standard or level or type or social norm; not abnormal
northern,in or characteristic of a region of the United States north of (approximately) the Mason-Dixon line
notable,No definition found
noticeable,capable or worthy of being noticed
notorious,No definition found
novel,No definition found
nuclear,(weapons) deriving destructive energy from the release of atomic energy
numerous,No definition found
nursing,No definition found
obese,No definition found
objective,undistorted by emotion or personal bias; based on observable phenomena
obscure,No definition found
obvious,easily perceived and understood
occasional,No definition found
occupational,of or relating to the activity or business for which you are trained
odd,not divisible by two
offensive,for the purpose of attack rather than defense
offensive,for the purpose of attack rather than defense
official,having official authority or sanction
okay,No definition found
old,(used especially of persons) having lived for a relatively long time or attained a specific age
old-fashioned,No definition found
only,No definition found
open,affording unobstructed entrance and exit; not shut or closed
open,affording unobstructed entrance and exit; not shut or closed
operational,pertaining to a process or series of actions for achieving a result
opposed,being in opposition or having an opponent
opposite,of leaves etc.; growing in pairs on either side of a stem
optical,of or relating to or involving light or optics
optimistic,expecting the best in this best of all possible worlds
optional,possible but not necessary; left to personal choice
oral,of or relating to or affecting or for use in the mouth
orange,No definition found
ordinary,not exceptional in any way especially in quality or ability or size or degree
organic,relating or belonging to the class of chemical compounds having a carbon basis
organisational,of or relating to an organization
organizational,of or relating to an organization
original,being or productive of something fresh and unusual; or being as first made or thought of
orthodox,of or pertaining to or characteristic of Judaism
other,"not the same one or ones already mentioned or implied; quantifier, other"
outdoor,"located, suited for, or taking place in the open air"
outer,being on the outside or further from a center
outside,relating to or being on or near the outer side or limit
outstanding,No definition found
overall,No definition found
overseas,No definition found
overwhelming,No definition found
paid,marked by the reception of pay
painful,causing physical or psychological pain
pale,No definition found
papal,proceeding from or ordered by or subject to a pope or the papacy regarded as the successor of the Apostles
parallel,being everywhere equidistant and not intersecting
paralyzed,No definition found
parental,designating the generation of organisms from which hybrid offspring are produced
parliamentary,relating to or having the nature of a parliament
part-time,involving less than the standard or customary time for an activity
partial,constituting or comprising a part or fraction of a possible whole or entirety
particular,No definition found
particular,No definition found
passionate,having or expressing strong emotions
passive,lacking in energy or will
past,earlier than the present time; no longer current
patient,enduring trying circumstances with even temper or characterized by such endurance
payable,No definition found
peaceful,not disturbed by strife or turmoil or war
peculiar,No definition found
perceived,No definition found
perfect,being complete of its kind and without defect or blemish
permanent,continuing or enduring without marked change in status or condition or place
persistent,retained; not shed
personal,concerning or affecting a particular person or his or her private life and personality
petty,No definition found
philosophical,of or relating to philosophy or philosophers
photographic,relating to photography or obtained by using photography
physical,involving the body as distinguished from the mind or spirit
pink,No definition found
plain,not elaborate or elaborated; simple
planned,designed or carried out according to a plan
plausible,"apparently reasonable and credible, and therefore convincing"
pleasant,affording pleasure; being in harmony with your taste or likings
pleased,experiencing or manifesting pleasure
polish,of or relating to Poland or its people or culture
polite,"showing regard for others in manners, speech, behavior, etc."
political,involving or characteristic of politics or parties or politicians
poor,having little money or few possessions
popular,"regarded with great favor, approval, or affection especially by the general public"
portable,easily or conveniently transported
positive,characterized by or displaying affirmation or acceptance or certainty etc.
possible,capable of happening or existing
post-war,No definition found
potential,existing in possibility
powerful,having great power or force or potency or effect
practical,concerned with actual use or practice
practical,concerned with actual use or practice
precious,No definition found
precise,sharply exact or accurate or delimited
predictable,capable of being foretold
preferred,No definition found
pregnant,carrying developing offspring within the body or being about to produce new life
preliminary,No definition found
premature,born after a gestation period of less than the normal time
premier,No definition found
present,temporal sense; intermediate between past and future; now existing or happening or in consideration
present,temporal sense; intermediate between past and future; now existing or happening or in consideration
presidential,relating to a president or presidency
pretty,No definition found
previous,No definition found
primary,of first rank or importance or value; direct and immediate rather than secondary
prime,of or relating to or being an integer that cannot be factored into other integers
primitive,No definition found
principal,No definition found
printed,No definition found
prior,No definition found
private,confined to particular persons or groups or providing privacy
privileged,blessed with privileges
probable,likely but not certain to be or become true or real
productive,producing or capable of producing (especially abundantly)
professional,engaged in a profession or engaging in as a profession or means of livelihood
profitable,yielding material gain or profit
profound,showing intellectual penetration or emotional depth
progressive,favoring or promoting progress
prolonged,No definition found
prominent,No definition found
prone,No definition found
proper,marked by suitability or rightness or appropriateness
proportional,No definition found
proposed,No definition found
prospective,of or concerned with or related to the future
protective,intended or adapted to afford protection of some kind
proud,feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
provincial,of or associated with a province
provisional,No definition found
psychiatric,relating to or used in or engaged in the practice of psychiatry
psychological,of or relating to or determined by psychology
public,not private; open to or concerning the people as a whole
pure,free of extraneous elements of any kind
pure,free of extraneous elements of any kind
purple,No definition found
qualified,meeting the proper standards and requirements and training for an office or position or task
quantitative,expressible as a quantity or relating to or susceptible of measurement
quick,No definition found
quiet,characterized by an absence or near absence of agitation or activity
quiet,characterized by an absence or near absence of agitation or activity
racial,of or related to genetically distinguished groups of people
radical,of or relating to or constituting a linguistic root
raised,located or moved above the surround or above the normal position
random,lacking any definite plan or order or purpose; governed by or depending on chance
rapid,No definition found
rare,No definition found
rational,consistent with or based on or using reason
raw,not treated with heat to prepare it for eating
ready,completely prepared or in condition for immediate action or use or progress
real,being or occurring in fact or actuality; having verified existence; not illusory
real,being or occurring in fact or actuality; having verified existence; not illusory
realistic,aware or expressing awareness of things as they really are
rear,No definition found
reasonable,showing reason or sound judgment
recent,No definition found
reckless,No definition found
red,No definition found
reduced,made less in size or amount or degree
redundant,No definition found
regional,characteristic of a region
regular,in accordance with fixed order or procedure or principle
regulatory,No definition found
related,being connected either logically or causally or by shared characteristics
related,being connected either logically or causally or by shared characteristics
relative,estimated by comparison; not absolute or complete
relevant,having a bearing on or connection with the subject at issue
reliable,worthy of reliance or trust
religious,having or showing belief in and reverence for a deity
reluctant,No definition found
remaining,No definition found
remarkable,No definition found
remote,far apart in relevance or relationship or kinship
renewed,No definition found
repeated,No definition found
representative,standing for something else
required,No definition found
resident,living in a particular place
residential,used or designed for residence or limited to residences
respectable,characterized by socially or conventionally acceptable morals
respective,No definition found
responsible,worthy of or requiring responsibility or trust; or held accountable
restless,lacking or not affording physical or mental rest
restricted,subject to restriction or subjected to restriction
restrictive,serving to restrict
resulting,No definition found
retail,No definition found
retired,No definition found
revised,No definition found
revolutionary,of or relating to or characteristic or causing an axial or orbital turn
rich,possessing material wealth
ridiculous,No definition found
right,being or located on or directed toward the side of the body to the east when facing north
rigid,designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure
rising,advancing or becoming higher or greater in degree or value or status
rival,as a rival in a competition
romantic,belonging to or characteristic of Romanticism or the Romantic Movement in the arts
rotten,No definition found
rotten,No definition found
rough,having or caused by an irregular surface
round,having the shape or form of a circle
royal,of or relating to or indicative of or issued or performed by a king or queen or other monarch
rubber,No definition found
rude,lacking civility or good manners
ruling,No definition found
running,(of fluids) moving or issuing in a stream
rural,of or relating to the countryside as opposed to the city
sacred,concerned with religion or religious purposes
sad,experiencing or showing sorrow or unhappiness
safe,free from danger or the risk of harm
satisfactory,giving satisfaction
satisfied,No definition found
scared,No definition found
scientific,of or relating to the practice of science
seasonal,occurring at or dependent on a particular season
seasonal,occurring at or dependent on a particular season
secondary,being of second rank or importance or value; not direct or immediate
secret,No definition found
secular,of or relating to the doctrine that rejects religion and religious considerations
secure,free from fear or doubt; easy in mind
select,No definition found
selected,chosen in preference to another
selective,No definition found
semantic,of or relating to meaning or the study of meaning
senior,older; higher in rank; longer in length of tenure or service
sensible,showing reason or sound judgment
sensitive,responsive to physical stimuli
separate,independent; not united or joint
serious,concerned with work or important matters rather than play or trivialities
severe,No definition found
sexual,of or relating to or characterized by sexuality
shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
shared,have in common; held or experienced in common
sharp,keenly and painfully felt; as if caused by a sharp edge or point
sheer,No definition found
shocked,No definition found
short,primarily temporal sense; indicating or being or seeming to be limited in duration
short,primarily temporal sense; indicating or being or seeming to be limited in duration
short-term,No definition found
shy,lacking self-confidence
sick,affected by an impairment of normal physical or mental function
significant,important in effect or meaning
silent,No definition found
silly,No definition found
silver,No definition found
similar,marked by correspondence or resemblance
simple,having few parts; not complex or complicated or involved
single,being or characteristic of a single thing or person
single,being or characteristic of a single thing or person
skilled,having or showing or requiring special skill
sleeping,No definition found
slight,(quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with ‘a’) at least some
slim,No definition found
slippery,causing or tending to cause things to slip or slide
slow,not moving quickly; taking a comparatively long time
small,limited or below average in number or quantity or magnitude or extent
smart,showing mental alertness and calculation and resourcefulness
smooth,having a surface free from roughness or bumps or ridges or irregularities
so-called,No definition found
social,relating to human society and its members
socialist,advocating or following the socialist principles
sociological,of or relating to or determined by sociology
soft,yielding readily to pressure or weight
soft,yielding readily to pressure or weight
soft,yielding readily to pressure or weight
solar,relating to or derived from the sun or utilizing the energies of the sun
sole,No definition found
solid,of definite shape and volume; firm; neither liquid nor gaseous
solid,of definite shape and volume; firm; neither liquid nor gaseous
sophisticated,having or appealing to those having worldly knowledge and refinement and savoir-faire
sore,No definition found
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone
sound,financially secure and safe
sour,having a sharp biting taste
southern,in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line
spare,No definition found
spatial,pertaining to or involving or having the nature of space
special,No definition found
specialist,No definition found
specific,(sometimes followed by ‘to’) applying to or characterized by or distinguishing something particular or special or unique
specified,clearly and explicitly stated
spectacular,No definition found
spiritual,No definition found
splendid,No definition found
spoken,uttered through the medium of speech or characterized by speech; sometimes used in combination
spontaneous,happening or arising without apparent external cause
square,having four equal sides and four right angles or forming a right angle
stable,resistant to change of position or condition
standard,conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind
static,concerned with or producing or caused by static electricity
statistical,of or relating to statistics
statutory,relating to or created by statutes
steady,not subject to change or variation especially in behavior
steep,having a sharp inclination
sterling,No definition found
sticky,No definition found
stiff,having a strong physiological or chemical effect
still,used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion
stolen,No definition found
straight,having no deviations
straight,having no deviations
straightforward,No definition found
strange,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
strategic,relating to or concerned with strategy
strict,"characterized by strictness, severity, or restraint"
striking,No definition found
strong,having strength or power greater than average or expected
strong,having strength or power greater than average or expected
strong,having strength or power greater than average or expected
strong,having strength or power greater than average or expected
structural,"relating to or caused by structure, especially political or economic structure"
stubborn,tenaciously unwilling or marked by tenacious unwillingness to yield
stunning,No definition found
stupid,lacking or marked by lack of intellectual acuity
subject,No definition found
subjective,taking place within the mind and modified by individual bias
subsequent,following in time or order
substantial,having substance or capable of being treated as fact; not imaginary
substantive,defining rights and duties as opposed to giving the rules by which rights and duties are established
subtle,No definition found
successful,having succeeded or being marked by a favorable outcome
successive,No definition found
sudden,happening without warning or in a short space of time
sufficient,of a quantity that can fulfill a need or requirement but without being abundant
suitable,No definition found
sunny,No definition found
super,No definition found
superb,No definition found
superior,of high or superior quality or performance
supplementary,No definition found
supporting,No definition found
supposed,No definition found
supreme,No definition found
sure,having or feeling no doubt or uncertainty; confident and assured
surplus,No definition found
surprised,taken unawares or suddenly and feeling wonder or astonishment
surprising,causing surprise or wonder or amazement
surrounding,No definition found
suspicious,No definition found
sweet,having or denoting the characteristic taste of sugar
swift,No definition found
symbolic,relating to or using or proceeding by means of symbols
sympathetic,of or relating to the sympathetic nervous system
syntactic,of or relating to or conforming to the rules of syntax
systematic,characterized by order and planning
talented,endowed with talent or talents
talkative,No definition found
tall,great in vertical dimension; high in stature
tasty,pleasing to the sense of taste
technical,of or relating to technique or proficiency in a practical skill
technological,of or relating to a practical subject that is organized according to scientific principles
teenage,No definition found
temporary,not permanent; not lasting
tender,given to sympathy or gentleness or sentimentality
tender,given to sympathy or gentleness or sentimentality
tense,in or of a state of physical or nervous tension
tense,in or of a state of physical or nervous tension
terminal,of or relating to or situated at the ends of a delivery route
terrible,No definition found
territorial,of or relating to a territory
theoretical,concerned primarily with theories or hypotheses rather than practical considerations
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
thin,of relatively small extent from one surface to the opposite or in cross section
thinking,No definition found
thirsty,feeling a need or desire to drink
thorough,No definition found
thoughtful,exhibiting or characterized by careful thought
tidy,marked by order and cleanliness in appearance or habits
tight,closely constrained or constricted or constricting
tiny,No definition found
tired,depleted of strength or energy
tolerant,showing respect for the rights or opinions or practices of others
top,situated at the top or highest position
total,No definition found
tough,not given to gentleness or sentimentality
tough,not given to gentleness or sentimentality
toxic,of or relating to or caused by a toxin or poison
trading,No definition found
traditional,consisting of or derived from tradition
tragic,of or relating to or characteristic of tragedy
trained,shaped or conditioned or disciplined by training; often used as a combining form
transparent,No definition found
tremendous,No definition found
trivial,No definition found
tropical,"of or relating to the tropics, or either tropic"
true,consistent with fact or reality; not false
typical,exhibiting the qualities or characteristics that identify a group or kind or category
ugly,displeasing to the senses
ultimate,furthest or highest in degree or order; utmost or extreme
unable,(usually followed by ‘to’) not having the necessary means or skill or know-how
unacceptable,not acceptable; not welcome
unanimous,No definition found
unaware,(often followed by ‘of’) not aware
uncertain,lacking or indicating lack of confidence or assurance
unchanged,not made or become different
unclear,poorly stated or described
uncomfortable,conducive to or feeling mental discomfort
unconscious,not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
underground,No definition found
underlying,No definition found
understandable,No definition found
uneasy,lacking a sense of security or affording no ease or reassurance
unemployed,not engaged in a gainful occupation
unexpected,not expected or anticipated
unfair,not fair; marked by injustice or partiality or deception
unfamiliar,not known or well known
unfortunate,not favored by fortune; marked or accompanied by or resulting in ill fortune
unhappy,experiencing or marked by or causing sadness or sorrow or discontent
uniform,always the same; showing a single form or character in all occurrences
unique,No definition found
united,characterized by unity; being or joined into a single entity
universal,No definition found
unknown,not known
unlawful,contrary to or prohibited by or defiant of law
unlike,marked by dissimilarity
unlikely,not likely to be true or to occur or to have occurred
unnecessary,not necessary
unpleasant,offensive or disagreeable; causing discomfort or unhappiness
unprecedented,having no precedent; novel; never seen before
unreasonable,not reasonable; not showing good judgment
unsuccessful,not successful; having failed or having an unfavorable outcome
unusual,not usual or common or ordinary
unwanted,not wanted; not needed
unwilling,not disposed to and refusing to do something
up-to-date,No definition found
upper,the topmost one of two; upper
upset,No definition found
urban,relating to or concerned with a city or densely populated area
urgent,No definition found
used,employed in accomplishing something
useful,being of use or service
useless,having no beneficial use or incapable of functioning usefully
usual,occurring or encountered or experienced or observed frequently or in accordance with regular practice or procedure
vacant,No definition found
vague,"not precisely limited, determined, or distinguished"
vain,No definition found
valid,well grounded in logic or truth or having legal force
valuable,having great material or monetary value especially for use or exchange
variable,liable to or capable of change
varied,characterized by variety
various,No definition found
varying,No definition found
vast,No definition found
verbal,of or relating to or formed from words in general
vertical,at right angles to the plane of the horizon or a base line
very,No definition found
viable,No definition found
vicious,No definition found
video-taped,No definition found
vigorous,No definition found
violent,acting with or marked by or resulting from great force or energy or emotional intensity
virtual,No definition found
visible,capable of being seen; or open to easy view
visual,relating to or using sight
vital,No definition found
vivid,No definition found
vocational,of or relating to a vocation or occupation; especially providing or undergoing training in special skills
voluntary,of your own free will or design; done by choice; not forced or compelled
vulnerable,susceptible to attack
waiting,No definition found
walking,No definition found
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
wary,marked by keen caution and watchful prudence
waste,No definition found
weak,wanting in physical strength
wealthy,No definition found
wee,No definition found
weekly,No definition found
weird,No definition found
welcome,giving pleasure or satisfaction or received with pleasure or freely granted
well,in good health especially after having suffered illness or injury
well-known,No definition found
western,relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts
wet,covered or soaked with a liquid such as water
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light
white,being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light
whole,including all components without exception; being one unit or constituting the full amount or extent or duration; complete
wicked,morally bad in principle or practice
wide,having great (or a certain) extent from one side to the other
widespread,No definition found
wild,marked by extreme lack of restraint or control
wild,marked by extreme lack of restraint or control
willing,disposed or inclined toward
winning,No definition found
wise,having or prompted by wisdom or discernment
wonderful,No definition found
wooden,No definition found
working,No definition found
working-class,No definition found
worldwide,No definition found
worried,No definition found
worrying,No definition found
worthwhile,No definition found
worthy,having worth or merit or value; being honorable or admirable
written,set down in writing in any of various ways
wrong,not correct; not in conformity with fact or truth
wrong,not correct; not in conformity with fact or truth
yellow,No definition found
young,(used of living things especially persons) in an early period of life or development or growth
